Order ID,Order Date,Category,Sub-Category,Region,Segment,Ship Mode,Sales,Quantity,Discount,Profit,Product Name
ORD-1000,2023-03-23,Technology,Phones,Central,Home Office,Same Day,407.7,5,0.0,-1.3,Phones 36
ORD-1001,2023-12-21,Technology,Accessories,East,Corporate,Second Class,160.0,4,0.1,-13.81,Accessories 44
ORD-1002,2023-03-12,Furniture,Chairs,Central,Consumer,First Class,1073.31,2,0.3,-281.59,Chairs 37
ORD-1003,2023-02-26,Technology,Computers,East,Corporate,Standard Class,382.52,2,0.3,-25.76,Computers 2
ORD-1004,2023-02-08,Technology,Computers,South,Corporate,Second Class,1239.49,3,0.1,-40.51,Computers 6
ORD-1005,2023-12-02,Office Supplies,Paper,West,Corporate,Same Day,1157.02,5,0.2,3.11,Paper 14
ORD-1006,2023-05-16,Technology,Computers,East,Corporate,First Class,222.56,4,0.0,53.05,Computers 24
ORD-1007,2023-01-25,Office Supplies,Binders,Central,Consumer,Same Day,597.82,4,0.0,-4.62,Binders 1
ORD-1008,2023-05-10,Technology,Computers,Central,Corporate,Standard Class,437.74,3,0.2,-8.15,Computers 28
ORD-1009,2023-07-24,Technology,Phones,East,Home Office,Same Day,1265.43,2,0.0,-39.14,Phones 40
ORD-1010,2023-03-01,Office Supplies,Storage,East,Corporate,First Class,1144.42,3,0.0,276.39,Storage 14
ORD-1011,2023-03-07,Technology,Computers,East,Consumer,Same Day,1069.33,2,0.1,-19.46,Computers 4
ORD-1012,2023-04-13,Office Supplies,Binders,South,Home Office,First Class,536.12,5,0.2,-12.51,Binders 22
ORD-1013,2023-12-12,Office Supplies,Paper,South,Corporate,Second Class,1625.83,1,0.0,343.76,Paper 11
ORD-1014,2023-11-25,Office Supplies,Storage,South,Consumer,Standard Class,1797.38,6,0.0,56.87,Storage 3
ORD-1015,2023-03-10,Technology,Accessories,South,Home Office,First Class,1045.96,1,0.1,-87.2,Accessories 32
ORD-1016,2023-07-02,Furniture,Chairs,Central,Consumer,Standard Class,176.54,2,0.3,-48.71,Chairs 49
ORD-1017,2023-05-01,Furniture,Bookcases,East,Home Office,Second Class,1238.65,2,0.3,-414.4,Bookcases 2
ORD-1018,2023-11-17,Furniture,Tables,Central,Corporate,Same Day,1972.02,4,0.2,-42.43,Tables 5
ORD-1019,2023-06-16,Office Supplies,Paper,East,Home Office,Same Day,827.71,1,0.0,38.27,Paper 36
ORD-1020,2023-04-09,Technology,Accessories,East,Home Office,Second Class,1048.58,3,0.3,-164.05,Accessories 40
ORD-1021,2023-10-03,Furniture,Bookcases,Central,Corporate,Same Day,715.08,1,0.1,91.11,Bookcases 49
ORD-1022,2023-11-23,Office Supplies,Binders,East,Consumer,First Class,231.55,4,0.0,50.97,Binders 19
ORD-1023,2023-04-06,Technology,Accessories,South,Corporate,First Class,1570.76,4,0.2,48.21,Accessories 48
ORD-1024,2023-02-02,Office Supplies,Binders,West,Home Office,Same Day,1343.83,5,0.1,-136.74,Binders 41
ORD-1025,2023-07-03,Furniture,Chairs,East,Consumer,Same Day,1013.09,4,0.3,-157.14,Chairs 12
ORD-1026,2023-06-13,Technology,Computers,Central,Corporate,Same Day,1290.85,6,0.1,34.8,Computers 27
ORD-1027,2023-01-05,Technology,Accessories,South,Consumer,Same Day,732.65,1,0.3,-109.4,Accessories 19
ORD-1028,2023-05-06,Technology,Phones,Central,Consumer,Standard Class,135.03,4,0.3,-28.22,Phones 24
ORD-1029,2023-05-23,Furniture,Chairs,East,Home Office,Same Day,1127.89,3,0.3,-106.13,Chairs 18
ORD-1030,2023-08-18,Furniture,Tables,South,Home Office,Second Class,1875.5,2,0.2,-148.13,Tables 23
ORD-1031,2023-01-09,Office Supplies,Storage,Central,Corporate,Same Day,1060.74,2,0.1,76.62,Storage 39
ORD-1032,2023-12-26,Furniture,Tables,Central,Consumer,Same Day,1628.25,3,0.1,179.31,Tables 45
ORD-1033,2023-12-02,Furniture,Tables,West,Home Office,First Class,1601.8,4,0.2,-238.03,Tables 22
